Name,Address,Coordinates
Al - Amail Opticals,,"[58.2325312, 23.6319989]"
Nuts & Sweet,,"[58.2323987, 23.6321536]"
Laundry,,"[58.2294029, 23.6324661]"
Al Bait Al Arabi Bakery,,"[58.2294535, 23.6325025]"
Carpet Furnishing & Curtain,,"[58.2298352, 23.6327738]"
Nuts & Coffee,,"[58.2298964, 23.6328145]"
Al Mashreq Office Supply,,"[54.0729637, 17.0107299]"
King for Tobacco & Smoke,,"[54.0884539, 17.0173961]"
Special Tobacco Products,,"[54.0889304, 17.0173642]"
Print Maps & Atlases,,"[54.0892973, 17.0173118]"
Food Stuff,,"[54.0893497, 17.0173049]"
Communication Window,,"[54.0898214, 17.0172092]"
Laundry,,"[54.0901645, 17.0172024]"
Thani United Trading Cont. Co.,,"[54.0905583, 17.0159042]"
Ibn Al Naamani Tailoring,,"[54.0900106, 17.0146132]"
Golden House Travel,,"[54.0898996, 17.0145766]"
Hafiz Ramdhan Mubarak Trading Est.,,"[54.0897981, 17.0145509]"
Alkhanjar,,"[54.0897004, 17.0145271]"
Ladies Tailoring,,"[54.0896276, 17.0144887]"
Laundry,,"[54.0895798, 17.0144795]"
Irtehal Trading Centre,,"[54.0893844, 17.0144173]"
Al Nazih United Beauty Supplies,,"[54.0891546, 17.0143568]"
Ajmal International,,"[54.0890435, 17.0143275]"
Curtain Tailoring,,"[54.0888271, 17.0142415]"
Satellite Items Repair & Sale,,"[54.0887812, 17.0142268]"
Golden Sign,,"[54.0887486, 17.0142177]"
Noor Al Manah Trading & Cont. Co.,,"[54.0883982, 17.0141005]"
Al Rami Computer Services,,"[54.0883484, 17.0140895]"
Satellite Receiving System,,"[54.0883139, 17.0140821]"
Optics,,"[54.087027, 17.0136372]"
Foodstuff & Luxuries,,"[54.0869696, 17.013628]"
Interwood & Electronics Equipment,,"[54.0869332, 17.0136207]"
Al Muqame Gallery,,"[54.0840951, 17.0129706]"
Rawasco Shopping Centre,,"[54.0838059, 17.0128076]"
Al Bushra Commercial Market,,"[54.0811193, 17.0118596]"
Fruits & Vegetables Sale,,"[54.0809819, 17.011795]"
Nahawand Cosmetics,,"[54.0807187, 17.0117371]"
Eccesswary,,"[54.0803275, 17.0116413]"
Al Ahlam Al Arabi,,"[54.0717544, 17.0088058]"
Perfume Boulevard,,"[58.2439869, 23.6094086]"
Al Wareed Gallery 21,,"[58.2436785, 23.6095314]"
Boulanger Patissier,,"[58.2437818, 23.6101167]"
Al - Taibat Cold Store,,"[58.2374859, 23.6064722]"
Pearls Coffee Shop,,"[58.245285, 23.5927983]"
Al Malaweh Shopping,,"[58.255869, 23.6244377]"
Bicycles,,"[58.2377067, 23.6255263]"
Computers,,"[58.2376629, 23.6255816]"
Retail of Jewelry,,"[58.2372746, 23.6260791]"
Coffee Shop,,"[58.2321539, 23.6356183]"
Luxuries Sale of Tobacco & Smoke,,"[58.2332602, 23.6317353]"
Natural Herbs,,"[58.2326989, 23.6318838]"
Tyres & Batteries,,"[58.2326707, 23.631912]"
Black & White Shopping,,"[58.2338049, 23.6304804]"
Global,,"[58.2340336, 23.6302414]"
Thamarh Interna,,"[58.2267851, 23.6206256]"
Karak Tea Cafe,,"[58.2294879, 23.6325325]"
Coffee Shop,,"[58.2302306, 23.6271803]"
Dubai Hypermarket,,"[58.2201849, 23.6244058]"
Al Noor Laundry,,"[58.2199722, 23.6278259]"
Kwik Kleen,,"[58.2197336, 23.6276773]"
Laundry,,"[58.2155275, 23.6304079]"
Anier Flora,,"[58.2112425, 23.6311154]"
Laundry,,"[58.1985654, 23.6239377]"
Sale of Honey,,"[58.1776633, 23.6834064]"
Moon Light Furniture,,"[58.1776354, 23.6833416]"
Carpet & Moquette,,"[58.1787012, 23.6829275]"
Golden Palace,,"[58.1799617, 23.6827303]"
Al Raha Furniture,,"[58.1830147, 23.6818964]"
Gulf Pioneer Star,,"[58.1843414, 23.6810193]"
East Carpet House,,"[58.1859356, 23.6794588]"
Sale of Car Accessories,,"[58.18716, 23.67854]"
Car Accessories,,"[58.1911245, 23.675602]"
Jabal Shaws,,"[58.1892947, 23.6775448]"
2010,,"[58.1892591, 23.6775925]"
Ruby Star,,"[58.1892355, 23.6776221]"
Green Stone,,"[58.1891786, 23.6776742]"
Damas,,"[58.1891218, 23.677755]"
Muscat Silver,,"[58.1890215, 23.6778276]"
Adam's Sons,,"[58.1889677, 23.6778728]"
City Optics,,"[58.1889452, 23.6779167]"
Gold House Jewellery,,"[58.1885847, 23.6782853]"
Apex Opticals,,"[58.1879171, 23.678846]"
Zain Shoes,,"[58.1874646, 23.6792309]"
Bin Kareem Store,,"[58.1874175, 23.6792537]"
Old City,,"[58.1870851, 23.6797382]"
Al Awan Watches,,"[58.1869654, 23.6798887]"
Nabeer,,"[58.1867952, 23.6802227]"
Al Fawar,,"[58.1866835, 23.6804879]"
Erleel Majan,,"[58.1863994, 23.6809033]"
Saif Said Al Rashdy & Sons,,"[58.1862775, 23.6813679]"
Wadi A'rusayl,,"[58.1861639, 23.6817409]"
Layali,,"[58.1854223, 23.6826787]"
Watch Palace,,"[58.1849872, 23.6830607]"
Al Wajeeh,,"[58.1849702, 23.6830726]"
Qibara,,"[58.1845525, 23.6830579]"
Shama Stores,,"[58.1837764, 23.6833771]"
Furniture Owl,,"[58.1810719, 23.6839037]"
Asseel Al-Masa'a,,"[58.1808569, 23.6838944]"
Abu Saher Trading,,"[58.1807497, 23.6838779]"
Al-Shara'a Furniture,,"[58.180437, 23.6838599]"
Al-Teqania,,"[58.1767898, 23.6831371]"
Golden,,"[58.1751207, 23.6834685]"
Yousuf Al-Rasdi Furniture,,"[58.1748204, 23.6833873]"
Silik Touch,,"[58.1805714, 23.6841683]"
Ibn Al Aaredh,,"[58.1736019, 23.6834054]"
Omani Halva,,"[58.1734715, 23.6833832]"
Barber Shop,,"[58.1733908, 23.6833697]"
Dar Al Hanas Fashion,,"[58.1908885, 23.6763245]"
Al Seeb,,"[58.1905911, 23.6767261]"
Al Madina,,"[58.1899752, 23.6773161]"
Al Amri Opticals,,"[58.1882656, 23.6789853]"
Magic Shoes,,"[58.1881491, 23.6790891]"
Al Faisal,,"[58.1876332, 23.6796124]"
Al-Ahli Est.,,"[58.1875463, 23.6796632]"
Arabian Oud,,"[58.1871837, 23.6802642]"
Gafoor,,"[58.1871238, 23.6803356]"
Bright Opticals,,"[58.1867632, 23.6811286]"
Kamelia,,"[58.1869536, 23.6817104]"
United,,"[58.1864606, 23.6822147]"
Dima,,"[58.186228, 23.6824787]"
HBL,,"[58.1860113, 23.6827117]"
Laundry,,"[58.2282502, 23.6290638]"
Laundry,,"[58.230194, 23.6271983]"
Motor Vehicle Accessories,,"[58.2194589, 23.6244891]"
Coffee Shop,,"[58.2194672, 23.6249824]"
Canary,,"[58.2200319, 23.6277303]"
Ladiers Tailoring,,"[58.2155721, 23.6304447]"
Coffee Shop,,"[58.1982835, 23.6271136]"
Barber Shop,,"[58.1985247, 23.6239703]"
Paisley,,"[58.5637747, 23.6205215]"
Omani Heritage Gallery,,"[58.5653288, 23.6203348]"
Al Watan,,"[58.1774141, 23.6872374]"
Coffee Shop,,"[58.185603, 23.6825717]"
Al Qais,,"[58.1741305, 23.6835623]"
Oman Arab Bank,,"[58.1881034, 23.679131]"
HSBC,,"[58.1879074, 23.6794011]"
Coffee Day,,"[58.1869827, 23.6806353]"
Nuts & Coffee,,"[58.1869704, 23.6806603]"
Maria,,"[58.1869363, 23.6807565]"
Golden Restaurant,,"[58.1959252, 23.6285399]"
Ahli Bank,,"[58.1961097, 23.6288385]"
Oman Uaexchange,,"[58.2026761, 23.6378494]"
Sea Star Restaurant,,"[54.0175322, 17.0119786]"
Coffee Shop,,"[58.1958635, 23.6272945]"
Coffee Day,,"[58.1960842, 23.6276005]"
Fresh Chicken Coffee Shop,,"[58.1962856, 23.6279407]"
Al Aloden Dental Clinic,,"[58.196888, 23.6287441]"
Tea Corner,,"[58.2019529, 23.6382796]"
Restaurant,,"[54.0333027, 17.0287951]"
Al Khoudh Gate,,"[58.145646, 23.5875972]"
Tea & Quick Meals,,"[58.1452232, 23.5889797]"
Smile World Dental,,"[58.1440581, 23.5886895]"
Coffee Shop,,"[58.56134, 23.6253178]"
Coffee Shop,,"[58.5608635, 23.6250471]"
Al-Seeb,,"[58.1842877, 23.6837112]"
HSBC,,"[58.172374, 23.6830419]"
Tea Corner,,"[58.2002568, 23.6351765]"
Modern Exchange,,"[58.1984718, 23.6311978]"
Golden Leaf,,"[58.1999973, 23.6335559]"
Mezza House,,"[58.2022133, 23.637168]"
Burger,,"[58.2018987, 23.6358838]"
Shams Restaurant,,"[58.2020935, 23.6381953]"
Coffee Shop,,"[58.5431455, 23.6110789]"
Muscat Drivig School,,"[58.5431052, 23.6111237]"
Kair Al Khaleej Restaurant,,"[54.0544447, 17.0165444]"
Coffee Shop,,"[54.0181638, 17.0318283]"
Chicking,,"[54.0392231, 17.0042049]"
Coffee Shop,,"[58.1448101, 23.5898534]"
Meat Grills,,"[58.1438297, 23.5894475]"
Al Haseem Al Turky,,"[54.0376684, 17.002928]"
Retail of Nuts Coffee & Sweets,,"[58.1432693, 23.594155]"
Tea Coffee Shop,,"[58.1431847, 23.594345]"
Al Rahmat Medical Complex,,"[58.142863, 23.5942384]"
Car Wash & Polishing,,"[58.1434724, 23.5904061]"
Grilled Fish,,"[58.1436991, 23.589721]"
Al Zarka,,"[54.0370512, 17.0023766]"
Al Shabekah Restaurant,,"[54.0365821, 17.0019798]"
Tea Time,,"[54.0362096, 17.0022065]"
Care Pharmacy,,"[54.0312113, 17.0111704]"
Mumbai Masti Restaurant,,"[58.5612183, 23.6247871]"
Multaky Al Nahareen,,"[54.210305, 17.0490762]"
Layali Alsharq,,"[54.1598136, 17.0852998]"
Coffee Shop & Fruits Juicer,,"[54.1512827, 17.0817263]"
Al Karaama,,"[54.1603659, 17.0632623]"
Coffee Shop,,"[58.5400973, 23.6212047]"
Jeedaan Juice,,"[58.5415899, 23.6179277]"
Spicy Village,,"[58.5437827, 23.5944457]"
Coffeeshop & Ice Cream,,"[54.1588395, 17.0776811]"
Coffee Shop,,"[58.5405254, 23.6171564]"
Rent a Car,,"[58.5332844, 23.6030405]"
Coffee Shop,,"[58.5189859, 23.5846565]"
Restaurant,,"[54.0111007, 17.006979]"
Coffee Shop,,"[58.546039, 23.5843348]"
Zanzibar Grill Food,,"[58.2390126, 23.624561]"
Big Grills,,"[58.244001, 23.6231844]"
Lakhoo's Exchange,,"[58.5504551, 23.5867113]"
Best Polishing,,"[58.5538363, 23.586017]"
Bank Sohar,,"[58.545555, 23.5854053]"
Oman Arab Bank,,"[58.5455854, 23.5855405]"
Bank Saderat Iran,,"[58.5456878, 23.5880293]"
Tasty Restaurant,,"[58.5460382, 23.5865984]"
Import & Export,,"[58.5450546, 23.5883819]"
Nizam Restaurant,,"[58.545296, 23.5885224]"
Luqman Clinic,,"[58.5453582, 23.5885262]"
Omar Al Khayyam Restaurant,,"[58.5438981, 23.5934536]"
Smart Cargo,,"[58.5436254, 23.5926215]"
Coffee Shop,,"[58.5430355, 23.5905298]"
Waheed Restaurant,,"[58.5427766, 23.5892047]"
Import & Export,,"[58.5438624, 23.5881541]"
Asia Express Exchange,,"[58.5449657, 23.5909209]"
Money Exchange,,"[58.5448841, 23.5915768]"
Oman United Exchange,,"[58.5448889, 23.5925493]"
Muscat Pharmacy & Stores,,"[58.5444996, 23.5938997]"
Global Money Exchange,,"[58.5443926, 23.5938824]"
Land Transport,,"[58.542637, 23.5891729]"
Restaurant,,"[58.5425439, 23.5888403]"
Maitham & Mohammed Restaurant,,"[58.5399124, 23.5867026]"
Kanari Restaurant,,"[58.5403377, 23.5872877]"
Al Falafil Restaurant,,"[58.5406748, 23.5876306]"
Alamry Omani Balwa,,"[58.5407629, 23.5877413]"
Al Taie International,,"[58.5434448, 23.5880056]"
Coffee Shop,,"[58.5439057, 23.5857027]"
Oman Express Supplies Restaurant,,"[58.547753, 23.588543]"
Muscat Pharmacy,,"[58.5460725, 23.5885202]"
Coimbatore Ayurvedic Centre,,"[58.5421525, 23.590337]"
Mustafa Sultan Exchnage,,"[58.5434881, 23.5931212]"
National Pharmacy,,"[58.5443646, 23.5942089]"
Bank Muscat,,"[58.5443397, 23.5941357]"
Joha,,"[58.5470838, 23.5942418]"
Sohar Pharmacy,,"[58.5468507, 23.5911653]"
Anwar Ruwi Coffee Shop,,"[58.5468777, 23.591125]"
Purshottam Kanji Exchange,,"[58.5462682, 23.5887433]"
Chicken Tikka & Seekh Kabab,,"[58.5413738, 23.59948]"
Coffee Shop,,"[58.541289, 23.5993989]"
Rent a Car Office,,"[58.5413701, 23.5991997]"
Divine Restaurant,,"[58.5420801, 23.5977228]"
Kasablanka Arabic Trading Coffee Shop,,"[58.5399037, 23.6009275]"
Star Clinic,,"[58.5426539, 23.5970817]"
Black & White Restaurant,,"[58.5415723, 23.6015669]"
Pizza Hut,,"[58.5399819, 23.6032379]"
Rent a Car,,"[58.5390585, 23.6025175]"
Feast at East,,"[58.543997, 23.6019708]"
Coffee Shop,,"[58.5435621, 23.6020114]"
Coffee Shop,,"[58.2386038, 23.5953559]"
Outer Space Restaurant,,"[58.5419264, 23.600598]"
Ice Burs,,"[58.2167178, 23.5947185]"
Shafi Pharmacy,,"[58.2178431, 23.594997]"
Bait al Sahil,,"[58.2179708, 23.5950273]"
Waleed Pharmacy,,"[58.5444004, 23.6025628]"
Luthar,,"[58.2223728, 23.5942947]"
Al-Massa Pharmacy,,"[58.2243085, 23.5945914]"
Coffee Shop,,"[58.2253719, 23.5941885]"
Coffee Shop,,"[58.2261515, 23.5943176]"
Lailiy Elhelmya Coffee Shop,,"[58.5424537, 23.6022826]"
Al Failaq,,"[58.5437987, 23.5945248]"
Homoeopathic Clinic,,"[58.543713, 23.594471]"
Coffee Shop,,"[58.5431623, 23.5945454]"
Yasir Broast Restaurant,,"[58.5432272, 23.596685]"
Al Hamour Restaurant & Coffee Shop,,"[58.5428243, 23.5964406]"
Ibn Sina Pharmacy,,"[58.5427739, 23.5964816]"
Badr Al Samra Pharmacy,,"[58.5434699, 23.5950333]"
The Happy Kids Nursery,,"[58.2159483, 23.6018605]"
Restaurant & Coffee Shop,,"[58.2097456, 23.5979483]"
Coffee Shop,,"[58.2104097, 23.5984634]"
Homoeopathic Clinic,,"[58.5460701, 23.5971053]"
Wasel Exchange,,"[58.545404, 23.5953716]"
Al Jadeed Exchange,,"[58.5451599, 23.5953068]"
Fast Food & Coffee Shop,,"[58.5449684, 23.5952441]"
Dental Clinic,,"[58.5449045, 23.5952964]"
Al Haikal Restaurant,,"[58.5447147, 23.5955088]"
Restaurant & Sweets,,"[58.5446475, 23.5956031]"
Al Waseem Restaurant,,"[58.5445618, 23.5957458]"
Restaurant,,"[58.2250012, 23.6067179]"
Coffee Shop & Grill,,"[58.2250329, 23.6067469]"
Coffee Shop,,"[58.2253675, 23.6073823]"
Minutes,,"[58.2256501, 23.6075714]"
Al Ziza Restaurant,,"[58.551104, 23.5872835]"
Studio,,"[58.5459284, 23.5938642]"
Coffee Shop & Fast Food,,"[58.5510753, 23.5884175]"
Coffee Shop,,"[58.553125, 23.5869776]"
Coffee Shop,,"[58.5526484, 23.5875157]"
Mustafa Sultan Exchange,,"[58.5455868, 23.5855802]"
Bank Muscat,,"[58.5456358, 23.586663]"
Musandam Exchange,,"[58.5450661, 23.5898956]"
Dried Fruits & Coffee,,"[58.545068, 23.5900712]"
East Asia International Trading,,"[58.5445729, 23.5903539]"
Rajab Cargo,,"[58.5442721, 23.5896075]"
Coffee Shop & Grill,,"[58.5443022, 23.5895085]"
Hamdan Exchange,,"[58.545665, 23.5892718]"
Modern Exchange,,"[58.5456109, 23.5893858]"
Bank Dhofar,,"[58.5455702, 23.5895415]"
Al Mashar Pharmacy,,"[58.545088, 23.5905653]"
Nahdat Ruwi Company Restaurant,,"[58.5439925, 23.5883135]"
Oman International Exchange,,"[58.5446213, 23.5915911]"
Homeopathic Clinic,,"[58.544578, 23.5920542]"
Majan Exchange,,"[58.544516, 23.5933435]"
Al Jadeed Exchange,,"[58.5446485, 23.593407]"
Rashid Cargo Sea & Roadway Services,,"[58.5435426, 23.592816]"
Restaurant,,"[58.5434677, 23.5925262]"
Pingy Kargo,,"[58.5433814, 23.5923824]"
Al Mawali,,"[58.5433703, 23.5923432]"
ST Cargo,,"[58.5431743, 23.5915896]"
Export & Import,,"[58.5431512, 23.5915128]"
Green Chilly,,"[58.5404475, 23.5874333]"
Golden Baskets International,,"[58.5438296, 23.5879834]"
Ferdos Aden Restaurant,,"[58.5437833, 23.5943531]"
Madi,,"[58.2241415, 23.6052642]"
Karak Tea Coffee Shop,,"[58.5482958, 23.6023559]"
El Shola Pharmacy,,"[58.5483332, 23.6022981]"
NBO,,"[58.5488818, 23.5988082]"
Lama Pharmacy,,"[58.5479376, 23.5993352]"
NBO,,"[58.5472927, 23.5996127]"
Alizz Islamic Bank,,"[58.5475599, 23.5972804]"
ATS Global Xpress,,"[58.5480601, 23.5981721]"
Coffee Shop,,"[58.507415, 23.6213917]"
Lankhoo's Exchange,,"[58.3520096, 23.5763513]"
Deli Cafe,,"[58.5071646, 23.6228971]"
HSBC,,"[58.5458804, 23.5856754]"
Muscat Pharmacy,,"[58.5458738, 23.5861405]"
Nawras Al Madina Trading Restaurant,,"[58.5525247, 23.6086292]"
Coffee Shop,,"[58.5536083, 23.6065067]"
Steak and Burger Factory,,"[58.4908902, 23.6232715]"
Al Iraqi House,,"[58.4909219, 23.624287]"
Muscat Pharmacy,,"[58.4909208, 23.6244847]"
Four Squares Restaurant,,"[58.5537905, 23.5971044]"
State Bank of India,,"[58.5492955, 23.6004087]"
Bank Sohar,,"[58.5482197, 23.6024893]"
Cool Land,,"[58.3796563, 23.6023484]"
Eat & Drinks,,"[58.3796563, 23.6022828]"
The Music Palace,,"[58.4587217, 23.6071409]"
Coffe Shop,,"[58.4718855, 23.6085658]"
Bank Muscat,,"[58.4544277, 23.6015046]"
Al Rayyan Pharmacy,,"[58.3665648, 23.594084]"
Love that Burger,,"[58.3636498, 23.5928144]"
Al Essa Dental Clinic,,"[58.5489633, 23.6052195]"
Papa Jones Pizza,,"[58.455659, 23.6007725]"
Taiba Pharmacy,,"[58.3757715, 23.5908931]"
Mabrook,,"[58.3661546, 23.5942511]"
Castle Restaurant,,"[58.3661764, 23.5940276]"
Quram Beach Coffee Shop,,"[58.4070291, 23.602167]"
Rafat Grills,,"[58.3922501, 23.6005605]"
Oman Arab Bank,,"[58.3996104, 23.5493461]"
Bank Dhofar,,"[58.4006754, 23.55573]"
Pizza Inn,,"[58.4222712, 23.5867664]"
Al Zaika Al Sahiya Restaurant,,"[58.4266621, 23.5864111]"
Meerath Restaurant,,"[58.4297815, 23.5926454]"
Paprika Restaurant,,"[58.4239923, 23.5937722]"
Dream Tea,,"[58.4240075, 23.5942803]"
Golden Burger,,"[58.4240104, 23.5941535]"
Shamlan Rent A Car,,"[58.4240019, 23.5936333]"
Cold Stone,,"[58.4238477, 23.5934888]"
Turkish Cafeteria,,"[58.4279655, 23.5915846]"
Asia Express Exchange,,"[58.4280701, 23.5910586]"
Global Money Exchange,,"[58.4280675, 23.5909749]"
Pizza Muscat,,"[58.4272339, 23.5907083]"
Crystal Turkish Fastfood Coffee Shop,,"[58.4242568, 23.5871904]"
Restaurant & Coffee Shop,,"[58.4236079, 23.5872085]"
Al Jadeed Exchange,,"[58.4285881, 23.5920514]"
Bahwan Pharmacy,,"[58.4226076, 23.5860395]"
Coffee Shop,,"[58.4294422, 23.5910896]"
Al Safadi Restaurant,,"[58.4285162, 23.5877701]"
Modern Green House Restaurant,,"[58.4326971, 23.5931986]"
Maryana,,"[58.4429176, 23.5890791]"
NBO,,"[58.4289928, 23.5910492]"
Oman Arab Bank,,"[58.4312789, 23.5965252]"
Lulu Trading,,"[58.4328963, 23.5925742]"
Ice Cream Mama,,"[58.4158989, 23.573638]"
Market,,"[58.4133936, 23.565105]"
RAwabi Al Sharqiya Restaurant,,"[58.4124426, 23.5641078]"
Grill,,"[58.4108468, 23.5572765]"
Blueberry,,"[58.3947389, 23.5377626]"
Al Mumaiz Ice Cream,,"[58.3990588, 23.5485044]"
Medical Center,,"[58.4025692, 23.5596245]"
Bin Khumairi,,"[58.4026092, 23.5598065]"
Kiwi's,,"[58.4013522, 23.5583428]"
Costa,,"[58.4009196, 23.5566383]"
Pizza Hut,,"[58.4008855, 23.5565019]"
الصيدلية العلمية,,"[58.4050972, 23.5891425]"
Red Velvet,,"[58.1812876, 23.6818006]"
Gents Tailoring,,"[58.1815585, 23.6817467]"
Medical Mattress World,,"[58.181859, 23.6815926]"
Shoezies,,"[58.1823189, 23.6815148]"
Female Tailoring,,"[58.1851891, 23.6796883]"
Ladies Tailoring,,"[58.1859712, 23.6790851]"
Akhtar Furniture,,"[58.1881326, 23.6776471]"
Taj,,"[58.1886225, 23.677369]"
Arabia,,"[58.1888354, 23.6771941]"
Malikat,,"[58.1900053, 23.6761238]"
Sale & Juices Industry,,"[58.1774323, 23.6872798]"
Sale of Shoes,,"[58.187823, 23.6788792]"
Tamer Jewellery,,"[58.1877934, 23.6789015]"
Whole Sale of Clothing,,"[58.1877668, 23.678912]"
Ridhwan Optials,,"[58.1876228, 23.6790882]"
Zain Opticals,,"[58.1870511, 23.6796613]"
Swiss Arabian,,"[58.1870172, 23.6797644]"
Areej,,"[58.1867844, 23.6803099]"
Faisal Optical,,"[58.1867328, 23.680349]"
Green City,,"[58.1859453, 23.6821842]"
B.K Watch & Gift,,"[58.1858255, 23.6823615]"
Family Care,,"[58.1857417, 23.682388]"
Al-Fadak,,"[58.1856309, 23.682463]"
Al Shami House Furnitures,,"[58.1801391, 23.683787]"
Red Falcon,,"[58.1799935, 23.6837746]"
Egyptian Furniture,,"[58.1796821, 23.683739]"
Modern Beacon Seeb,,"[58.17911, 23.6836537]"
Wall of China,,"[58.1790287, 23.6836568]"
Golden Furniture,,"[58.1785006, 23.6835529]"
Hamza Opticals,,"[58.1783076, 23.6835312]"
Sandus,,"[58.1765699, 23.6833393]"
Durat Al Forat Trading,,"[58.1755531, 23.6834801]"
Oscar,,"[58.1754156, 23.6834718]"
Tilal Damascus,,"[58.1752763, 23.6834834]"
Morning House,,"[58.1810722, 23.6842008]"
Shoes Stitch,,"[58.1795171, 23.6839688]"
Shabeer,,"[58.1790515, 23.683915]"
Ghazlan,,"[58.178838, 23.6838772]"
Blue Bird,,"[58.1788065, 23.6838758]"
Sun Rise United,,"[58.1781387, 23.6838008]"
Kaswara Trading Est.,,"[58.1780741, 23.6838195]"
Babel,,"[58.1778174, 23.6837705]"
MG Jeans,,"[58.1773429, 23.6836853]"
Al Rayan,,"[58.1768857, 23.6836207]"
Al-Raqa,,"[58.1748934, 23.6837635]"
Noor East,,"[58.1738433, 23.6834849]"
Oud Elite,,"[58.1879598, 23.6793504]"
Ajmal,,"[58.1873515, 23.6800872]"
Afnan,,"[58.1871942, 23.6802189]"
Kanz Bazar,,"[58.1869568, 23.6806965]"
Kid Centre,,"[58.2047901, 23.6413427]"
Brite Vision Optials,,"[58.2043057, 23.6399828]"
Elite Rose,,"[58.2043494, 23.6400037]"
Rasasi,,"[58.2044044, 23.640028]"
Fragranscico,,"[58.20479, 23.6403342]"
Ajmal,,"[58.2046551, 23.6405256]"
Dar Al-Kashkha,,"[58.2047482, 23.6406578]"
Girls Beauty Center,,"[58.20479, 23.6407065]"
Moon Opticals,,"[58.2048203, 23.6407535]"
Oudh Al Anfar,,"[58.2048509, 23.6408024]"
Rainbow,,"[58.204892, 23.6408451]"
Al Diwaniya,,"[58.2049289, 23.6408852]"
Al Haramain,,"[58.2049988, 23.6409906]"
Bait Al Anaqa,,"[58.2050549, 23.6410307]"
Ideal House,,"[58.2021749, 23.6150516]"
Al Jeel Almaed,,"[58.2021155, 23.6150519]"
Roses Gate,,"[58.20589, 23.6147106]"
Sarmiyeh,,"[58.2060107, 23.6147146]"
Vegetables & Fruits Market,,"[58.1942001, 23.6258829]"
Al Gezlan Fashion,,"[58.1942443, 23.6259387]"
Al Nazih,,"[58.1947511, 23.6267086]"
Desert Rose,,"[58.1947677, 23.6267812]"
Seven Days,,"[58.1951437, 23.6273165]"
Barber Shop,,"[58.1957941, 23.6284009]"
Diamond Touch Textiles,,"[58.1971322, 23.6303883]"
Al Lubah Jewellery,,"[58.1972392, 23.6305794]"
Mirna Tailors,,"[58.1972857, 23.6306884]"
Zuraiq Textiles,,"[58.1974564, 23.6309696]"
Al Hamis,,"[58.1976409, 23.6311892]"
Modern Fashion Home,,"[58.197684, 23.631235]"
Fardan Jewellers,,"[58.1978254, 23.631442]"
Omani Halwa,,"[58.20085, 23.6361038]"
Dar Muscat Carpet,,"[58.200919, 23.6362049]"
City Optics,,"[58.201, 23.6363439]"
Erleel Muscat,,"[58.2010552, 23.6364324]"
Ibn Al Naamani,,"[58.2011914, 23.636603]"
My Perfumes,,"[58.2015932, 23.6372633]"
Ekleel Shoes,,"[58.2016622, 23.6373115]"
Majestic Shoes,,"[58.2019433, 23.6376883]"
Al Hilal Al Tukey,,"[58.2019812, 23.6377436]"
Fonezona,,"[58.1995464, 23.634254]"
Watch Repair,,"[58.1995033, 23.6342713]"
Al Fawan United Trading,,"[58.199355, 23.634363]"
Bakery & Sweets,,"[54.0176089, 17.0120437]"
Sale of Imitation Jewellery,,"[58.1945312, 23.6256103]"
Um Amar Trading,,"[58.194571, 23.6256654]"
Barber Shop,,"[58.1958128, 23.6272303]"
Al Barq Shopping,,"[58.1959142, 23.6273806]"
Dream Life,,"[58.1961156, 23.6276497]"
Digital Photo Shop,,"[58.1961454, 23.6276989]"
Barber Shop,,"[58.1961752, 23.6277413]"
Al Owaibi,,"[58.1962036, 23.6276634]"
Al Naamani,,"[58.19622, 23.6278465]"
Dream Life,,"[58.1962498, 23.6278997]"
Al Amri Trading,,"[58.1963109, 23.6279858]"
Photo Shop,,"[58.1963497, 23.6280678]"
Artificial Jewellery,,"[58.196384, 23.6281101]"
Oman WIngs,,"[58.1964377, 23.628106]"
Kids Fashion,,"[58.1966748, 23.6285077]"
Al Reeya Al Dhamia,,"[58.1967046, 23.6285569]"
Golden Palace,,"[58.1970163, 23.6290146]"
Anwar Tamana Trading,,"[58.196985, 23.628975]"
Al Naamani,,"[58.1970431, 23.6290679]"
Al Diwaniya Jewellery,,"[58.197073, 23.6291061]"
Diamond Corner,,"[58.1976307, 23.6298917]"
Mehdi Store,,"[58.1976635, 23.6299532]"
Ashjan Fashion,,"[58.1976903, 23.62993]"
Sheetal,,"[58.1975979, 23.6298535]"
Al Noor Imitation,,"[58.1977828, 23.6301281]"
Perfumes & Watches,,"[58.1982466, 23.6309082]"
House Hold Appliances,,"[58.1983763, 23.6310653]"
Ice Cream & Fresh Juices,,"[58.1984226, 23.6311309]"
Meat,,"[58.1987417, 23.6315804]"
Computer World,,"[58.1989057, 23.6318673]"
Al Ameed,,"[58.1989594, 23.631926]"
Al Amal Opticals,,"[58.1990399, 23.6320708]"
Sama Hypermarket,,"[58.1996648, 23.6330859]"
Abdul Samad Al Qurashi,,"[58.2003716, 23.6343947]"
Royal Bed,,"[58.2004507, 23.63453]"
Erleel Majan,,"[58.2005118, 23.6346324]"
Abadz,,"[58.2005774, 23.6347294]"
Supreme Fashion Textiles,,"[58.2006311, 23.6348483]"
Regal,,"[58.2009637, 23.6353592]"
Coffee Shop & Fruit Juicer,,"[54.0148096, 17.00984]"
Laundry,,"[54.0171735, 17.0081954]"
Food Stuff,,"[54.0171349, 17.0082337]"
Sale of Sports Goods,,"[58.2017496, 23.6364371]"
Majan World Travel,,"[58.2019747, 23.6367964]"
